Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Volleyball duration (ms),High intensity interval training duration (ms)
2017-02-07,1634.499934461754,,,,,,,,,92,,,,,,51597682,,,,
2017-02-08,1634.4999463531035,,,,,,,,,67,,,,,,42228191,,,,
2017-02-09,1634.4999561291788,,,,,,,,,84,,,,,,72202288,,,,
2017-02-10,1634.4999891338052,,,,,,,,,122,,,,,,66315143,,,,
2017-02-11,1634.4999232088744,,,,,,,,,54,,,,,,81695592,,,,
2017-02-12,1634.4999399383983,,,,,,,,,13,,,,,,86400000,,,,
2017-02-13,1634.4999399383983,,,,,,,,,2,,,,,,86400000,,,,
2017-02-14,1637.8447211918547,,,,,,,,,919,,,,,,61865635,60846,,,
2017-02-15,1634.4999434746023,,,,,,,,,30,,,,,,75884885,,,,
2017-02-16,1634.500012124473,,,,,,,,,111,,,,,,74688018,,,,
2017-02-17,1634.4999322641047,,,,,,,,,165,,,,,,76466299,,,,
2017-02-18,1634.499974448981,,,,,,,,,170,,,,,,66722430,,,,
2017-02-19,1634.4999817891164,,,,,,,,,139,,,,,,70340345,,,,
2017-02-20,1420.1690996354728,13.434269905090332,,,,,,,,135,,,,,,72968171,124645,,,
2017-07-06,879.7823566956018,,,,,,,,,,,,,,,,,,,
2017-07-07,1634.5,,,,,,,,,,,,,,,,,,,
2017-07-08,1634.5,,,,,,,,,,,,,,,,,,,
2017-07-09,1634.5,,,,,,,,,,,,,,,,,,,
2017-07-10,1634.5,,,,,,,,,,,,,,,,,,,
2017-07-11,1634.5,,,,,,,,,,,,,,,,,,,
2017-07-12,1634.5,,,,,,,,,,,,,,,,,,,
2017-07-13,1708.4304727567276,741.3891186714172,,,,,,,,1183,,,,,505434,42874510,803708,,,
2017-07-14,1755.0407173505791,3838.9383058547974,,,,,1.0913808210884945,4.170000076293945,0.6499999761581421,460,,,,,2013572,72343942,36784,,,
